DQN-LunarLanding,DQN-LunarLander
-37.005413987854325,-37.005413987854325
-5.548717420807748,-5.548717420807748
-99.81880525747022,-99.81880525747022
-252.56766299002382,-252.56766299002382
-99.62941745193159,-99.62941745193159
-97.01205824014505,-97.01205824014505
-63.53159384018274,-63.53159384018274
-50.390767599758945,-50.390767599758945
-150.63347082125478,-150.63347082125478
-359.5176661955451,-359.5176661955451
-266.2313982435906,-266.2313982435906
-135.36437871888808,-135.36437871888808
-118.66456706776125,-118.66456706776125
-101.83087364026721,-101.83087364026721
-184.04549062636,-184.04549062636
38.18805166703652,38.18805166703652
-310.68655305995776,-310.68655305995776
-217.06356597308348,-217.06356597308348
-93.25413974077549,-93.25413974077549
-50.92633999476742,-50.92633999476742
-47.072779228834534,-47.072779228834534
-33.694586717202085,-33.694586717202085
-44.211498287346764,-44.211498287346764
-34.75232221753778,-34.75232221753778
-91.5127190221202,-91.5127190221202
-51.35306170980481,-51.35306170980481
57.67307880293322,57.67307880293322
-27.12657695682671,-27.12657695682671
-43.04341698080117,-43.04341698080117
-88.48701364026545,-88.48701364026545
-139.82152679971185,-139.82152679971185
17.258216990524943,17.258216990524943
-60.60440549909609,-60.60440549909609
-32.26530805824562,-32.26530805824562
-241.90129720970236,-241.90129720970236
-113.52993005307859,-113.52993005307859
-73.66800548753295,-73.66800548753295
210.01004075478286,210.01004075478286
-234.1377891105797,-234.1377891105797
-207.13990985276257,-207.13990985276257
-102.35622350815795,-102.35622350815795
-21.826368170618522,-21.826368170618522
178.57682412013435,178.57682412013435
-70.62116703952972,-70.62116703952972
-93.84964430911042,-93.84964430911042
4.876710560831256,4.876710560831256
-52.20662200300103,-52.20662200300103
-88.8163465701505,-88.8163465701505
179.66682524137946,179.66682524137946
-213.47232211778356,-213.47232211778356
-107.68711730732934,-107.68711730732934
-217.300333604777,-217.300333604777
-46.66578010646986,-46.66578010646986
-163.52900480427888,-163.52900480427888
-229.05654101244352,-229.05654101244352
-242.58224080367293,-242.58224080367293
-207.5095809355973,-207.5095809355973
-98.26355997967933,-98.26355997967933
-315.4648062744567,-315.4648062744567
-117.54490026845176,-117.54490026845176
-55.06377818423048,-55.06377818423048
-52.99054487319196,-52.99054487319196
3.9758751433924813,3.9758751433924813
248.78810406372023,248.78810406372023
-237.97662675666876,-237.97662675666876
-144.31162647902255,-144.31162647902255
-262.68608412458343,-262.68608412458343
64.41375913528869,64.41375913528869
-88.58930774293576,-88.58930774293576
-83.77543243251095,-83.77543243251095
-3.5458287257202414,-3.5458287257202414
-287.7750739752829,-287.7750739752829
18.18016402661586,18.18016402661586
-270.0267991109009,-270.0267991109009
-98.50239455025721,-98.50239455025721
-38.99104978917073,-38.99104978917073
-14.173093986252038,-14.173093986252038
-13.147296810094318,-13.147296810094318
-5.235130962487752,-5.235130962487752
-29.304000179819322,-29.304000179819322
-39.334152680126586,-39.334152680126586
